,EXTRAVERSION,AGREEABLENESS,CONSCIENTIOUSNESS,NEUROTICISM,OPENNESS,tokens,tokens_fdist,normalized,tokens_stemmed
10,gue lagi di caf nikmatin kopi favorit sambil cerita sama tementemen ngebahas temen gue yang lagi punya doi baru sama yang terlibat hts seru bangeet akhirnya bisa ngumpul lagi,"cara dia jelasin sesuatu tuh mudah dimengerti dan sesuai data, suka deh :)","sesuai dugaan kalau aku lulus tahap 2 asprak, tinggal tahap 3 yaitu interview. semangatt!!",aku gak berharap banyak. kayaknya pesimis memang sifat defaultku deh.,aku mau coba hobi baru. ada yang punya rekomendasi?,"['gue', 'lagi', 'di', 'caf', 'nikmatin', 'kopi', 'favorit', 'sambil', 'cerita', 'sama', 'tementemen', 'ngebahas', 'temen', 'gue', 'yang', 'lagi', 'punya', 'doi', 'baru', 'sama', 'yang', 'terlibat', 'hts', 'seru', 'bangeet', 'akhirnya', 'bisa', 'ngumpul', 'lagi']","['gue', 'caf', 'nikmatin', 'kopi', 'favorit', 'cerita', 'tementemen', 'ngebahas', 'temen', 'gue', 'doi', 'terlibat', 'hts', 'seru', 'bangeet', 'ngumpul']","['saya', 'lagi', 'di', 'caf', 'nikmatin', 'kopi', 'favorit', 'sambil', 'cerita', 'sama', 'tementemen', 'ngebahas', 'temen', 'saya', 'yang', 'lagi', 'punya', 'doi', 'baru', 'sama', 'yang', 'terlibat', 'hts', 'seru', 'banget', 'akhirnya', 'bisa', 'ngumpul', 'lagi']","['saya', 'lagi', 'di', 'caf', 'nikmatin', 'kopi', 'favorit', 'sambil', 'cerita', 'sama', 'tementemen', 'ngebahas', 'temen', 'saya', 'yang', 'lagi', 'punya', 'doi', 'baru', 'sama', 'yang', 'libat', 'hts', 'seru', 'banget', 'akhir', 'bisa', 'ngumpul', 'lagi']"
11,hari ini gue shopping sepuasnya dapet diskon gede seneng banget bisa beli barangbarang kece tanpa khawatir,"habis sholat di masjid istiqlal terus ngeliat ke gereja katedral cantik banget yaaa, kayak di luar negeri wkwkwk",proyek kali ini pasti bakalan sukses karena persiapan 5 hari lalu udah extra banget,"aku makin pesimis deh, aku beneran ngerasa ga pantes kalo mau sama dia, aku cuma beban yang gabisa apa-apa",aku menghargai perbedaan pendapat dan perspektif pasanganku kok. aku selalu mau terbuka buat belajar dari mereka dan mengubah pendirianku,"['hari', 'ini', 'gue', 'shopping', 'sepuasnya', 'dapet', 'diskon', 'gede', 'seneng', 'banget', 'bisa', 'beli', 'barangbarang', 'kece', 'tanpa', 'khawatir']","['gue', 'shopping', 'sepuasnya', 'dapet', 'diskon', 'gede', 'seneng', 'banget', 'beli', 'barangbarang', 'kece', 'khawatir']","['hari', 'ini', 'saya', 'shopping', 'sepuasnya', 'dapet', 'diskon', 'gede', 'seneng', 'banget', 'bisa', 'beli', 'barangbarang', 'kece', 'tanpa', 'khawatir']","['hari', 'ini', 'saya', 'shopping', 'puas', 'dapet', 'diskon', 'gede', 'neng', 'banget', 'bisa', 'beli', 'barangbarang', 'kece', 'tanpa', 'khawatir']"
12,gue cerita curhat sama tementemen di cafe ternyata mereka juga pernah mengalami hal yang sama rasa lega bercerita,"tadi beliin adek es krim coklat, dia suka bangett sampe bilang terima kasih terus terusan wkwkwk","hidup butuh duit, jadi aku gak boleh males-malesan berangkat kerja. semangat!","buat orang yang mengidap depresi, kesepian dan miskin kayak gue, jgn mengharapkan ada yang mau nyelamatin ya. ga ada yang mau bantu orang kayak kita ",saya selalu bedain mana yang mau debat atau diskusi.,"['gue', 'cerita', 'curhat', 'sama', 'tementemen', 'di', 'cafe', 'ternyata', 'mereka', 'juga', 'pernah', 'mengalami', 'hal', 'yang', 'sama', 'rasa', 'lega', 'bercerita']","['gue', 'cerita', 'curhat', 'tementemen', 'cafe', 'mengalami', 'lega', 'bercerita']","['saya', 'cerita', 'curhat', 'sama', 'tementemen', 'di', 'cafe', 'ternyata', 'mereka', 'juga', 'pernah', 'mengalami', 'hal', 'yang', 'sama', 'rasa', 'lega', 'bercerita']","['saya', 'cerita', 'curhat', 'sama', 'tementemen', 'di', 'cafe', 'nyata', 'mereka', 'juga', 'pernah', 'alami', 'hal', 'yang', 'sama', 'rasa', 'lega', 'cerita']"
13,gue lagi piknik ke taman makan bekal enak bareng keluarga hidup ini indah banget ya,"deg-deg an deh, soalnya besok pertama kali donor darah :)","rencana buat 3 tahun kedepan nih punya gaji 2 digit sebulan, maka dari itu kita harus selalu sehat biar bisa ngejarnya!","di negara sendiri, mau sampai kapanpun tidak akan pernah dihargai dan hidup tenang.","katanya mahasiswa agent of change, dituntut kritis. kalau gak terima silakan buka ruang diskusi dan compare.","['gue', 'lagi', 'piknik', 'ke', 'taman', 'makan', 'bekal', 'enak', 'bareng', 'keluarga', 'hidup', 'ini', 'indah', 'banget', 'ya']","['gue', 'piknik', 'taman', 'makan', 'bekal', 'enak', 'bareng', 'keluarga', 'hidup', 'indah', 'banget']","['saya', 'lagi', 'piknik', 'ke', 'taman', 'makan', 'bekal', 'enak', 'bareng', 'keluarga', 'hidup', 'ini', 'indah', 'banget', 'ya']","['saya', 'lagi', 'piknik', 'ke', 'taman', 'makan', 'bekal', 'enak', 'bareng', 'keluarga', 'hidup', 'ini', 'indah', 'banget', 'ya']"
14,hari ini gue merayakan ulangtahun adik dengan pesta kecilkecilan di rumah makan enak tertawa bersama dan pelukpelukan hangat,bersyukur banget dapet tempat magang yang punya lingkungan sehat!,"lomba mana lagi yang perlu gue ikutin ya, gak bisa banget kalau gak sibuk",capenya udah kaya orang depresi padahal kerjaannya cuman tidur,baru baca artikel tentang debat cawapres. gila seru banget! pengen tahu lebih banyak tentang ini,"['hari', 'ini', 'gue', 'merayakan', 'ulangtahun', 'adik', 'dengan', 'pesta', 'kecilkecilan', 'di', 'rumah', 'makan', 'enak', 'tertawa', 'bersama', 'dan', 'pelukpelukan', 'hangat']","['gue', 'merayakan', 'ulangtahun', 'adik', 'pesta', 'kecilkecilan', 'rumah', 'makan', 'enak', 'tertawa', 'pelukpelukan', 'hangat']","['hari', 'ini', 'saya', 'merayakan', 'ulangtahun', 'adik', 'dengan', 'pesta', 'kecilkecilan', 'di', 'rumah', 'makan', 'enak', 'tertawa', 'bersama', 'dan', 'pelukpelukan', 'hangat']","['hari', 'ini', 'saya', 'raya', 'ulangtahun', 'adik', 'dengan', 'pesta', 'kecilkecilan', 'di', 'rumah', 'makan', 'enak', 'tertawa', 'sama', 'dan', 'pelukpelukan', 'hangat']"
15,gue dan pacar halal gue lagi merayakan ulangtahun pernikahan senang banget bisa melewati berbagai momen manis bersama,menu jumat berkah besok apa yaa??,nilai kuliah gue semester ini bagus-bagus banget!! akhirnya gue udah bisa disiplin sama diri sendiri,ada studinya ga si orang yang kena macet tiap hari cenderung untuk lebih depresi? soalnya gue depresi banget kena macet mulu,baru coba snorkling dan ternyata asyik banget!! rekomended buat kalian yang suka liat-liat keindahan bawah laut,"['gue', 'dan', 'pacar', 'halal', 'gue', 'lagi', 'merayakan', 'ulangtahun', 'pernikahan', 'senang', 'banget', 'bisa', 'melewati', 'berbagai', 'momen', 'manis', 'bersama']","['gue', 'pacar', 'halal', 'gue', 'merayakan', 'ulangtahun', 'pernikahan', 'senang', 'banget', 'melewati', 'momen', 'manis']","['saya', 'dan', 'pacar', 'halal', 'saya', 'lagi', 'merayakan', 'ulangtahun', 'pernikahan', 'senang', 'banget', 'bisa', 'melewati', 'berbagai', 'momen', 'manis', 'bersama']","['saya', 'dan', 'pacar', 'halal', 'saya', 'lagi', 'raya', 'ulangtahun', 'nikah', 'senang', 'banget', 'bisa', 'lewat', 'bagai', 'momen', 'manis', 'sama']"
16,hari ini gue seneng banget karena bisa ketemu gebetan kita jalanjalan bareng ngobrol seru dan saling tertawa,"kenapa sih curigaan terus? mungkin emang imun dia kurang bagus, makanya sering izin sakit",tiap awal bulan harus bikin list pemasukan dan pengeluaran sih biar tetep hemat dan gak boros,stress banget rasanya pengen potong rambut sampe pendek banget,ada yang udah nonton film pendek laut bercerita? penasaran banget sama review-nya,"['hari', 'ini', 'gue', 'seneng', 'banget', 'karena', 'bisa', 'ketemu', 'gebetan', 'kita', 'jalanjalan', 'bareng', 'ngobrol', 'seru', 'dan', 'saling', 'tertawa']","['gue', 'seneng', 'banget', 'ketemu', 'gebetan', 'jalanjalan', 'bareng', 'ngobrol', 'seru', 'tertawa']","['hari', 'ini', 'saya', 'seneng', 'banget', 'karena', 'bisa', 'ketemu', 'gebetan', 'kita', 'jalanjalan', 'bareng', 'ngobrol', 'seru', 'dan', 'saling', 'tertawa']","['hari', 'ini', 'saya', 'neng', 'banget', 'karena', 'bisa', 'ketemu', 'gebetan', 'kita', 'jalanjalan', 'bareng', 'ngobrol', 'seru', 'dan', 'saling', 'tertawa']"
17,gue lagi ngobrol panjang sama pacar cerita curhat dan berbagi rencana masa depan setiap detik bersama emang berharga banget,"tadi ketewain soalnya salim ke senior magang pas pulang, katanya tos aja wkwkwkwk",gue rajin banget ya ngambil jadwal jaga asprak di jam set 7 pagi,gue sadar gue udh ditahap stress berat tapi harus haha aja karena gabisa ngapa-ngapain,apa yang terjadi setelah kita mati? mungkinkah ada kehidupan lain?,"['gue', 'lagi', 'ngobrol', 'panjang', 'sama', 'pacar', 'cerita', 'curhat', 'dan', 'berbagi', 'rencana', 'masa', 'depan', 'setiap', 'detik', 'bersama', 'emang', 'berharga', 'banget']","['gue', 'ngobrol', 'pacar', 'cerita', 'curhat', 'berbagi', 'rencana', 'detik', 'emang', 'berharga', 'banget']","['saya', 'lagi', 'ngobrol', 'panjang', 'sama', 'pacar', 'cerita', 'curhat', 'dan', 'berbagi', 'rencana', 'masa', 'depan', 'setiap', 'detik', 'bersama', 'emang', 'berharga', 'banget']","['saya', 'lagi', 'ngobrol', 'panjang', 'sama', 'pacar', 'cerita', 'curhat', 'dan', 'bagi', 'rencana', 'masa', 'depan', 'tiap', 'detik', 'sama', 'emang', 'harga', 'banget']"
18,gue dan pacar lagi planning liburan bersama rencananya sih mau travelling bareng seru banget,"telat karena macet di gbk tadi, tapi malah jadi kesempatan kenal orang baru dan cerita bareng. semoga kedepannya jalanan lebih lancar ya! 😊",guys jangan lupa buat olahraga disela-sela kesibukan ya! karena olahraga tuh ngaruh banget sama kesehatan kalian,kenapa ya gue selalu gak percaya kalo ada orang yang sayang sama gue?,kira-kira reinkarnasi itu nyata gak sih? penasaran banget,"['gue', 'dan', 'pacar', 'lagi', 'planning', 'liburan', 'bersama', 'rencananya', 'sih', 'mau', 'travelling', 'bareng', 'seru', 'banget']","['gue', 'pacar', 'planning', 'liburan', 'rencananya', 'travelling', 'bareng', 'seru', 'banget']","['saya', 'dan', 'pacar', 'lagi', 'planning', 'liburan', 'bersama', 'rencananya', 'sih', 'mau', 'travelling', 'bareng', 'seru', 'banget']","['saya', 'dan', 'pacar', 'lagi', 'planning', 'libur', 'sama', 'rencana', 'sih', 'mau', 'travelling', 'bareng', 'seru', 'banget']"
19,pacar gue cerita curhat tentang hariharinya dan gue seneng bisa jadi pendengar setia hubungan yang saling percaya itu penting banget ya,"liat komen tiktok katanya lama banget antrinya, jadi males nyoba makanan viral itu deh :(","temenku udah bikin rencana buat bangun start-up setelah lulus kuliah, keren banget aku juga mau cepet cepet lulus dan bangun start-up yang keren","gue mau minggat aja dari sini, gak ada yang sayang gue lagi, semuanya ngebully gue ","berani keluar dari zona nyaman dan mencoba hal baru. ternyata, hidup ini penuh dengan kejutan","['pacar', 'gue', 'cerita', 'curhat', 'tentang', 'hariharinya', 'dan', 'gue', 'seneng', 'bisa', 'jadi', 'pendengar', 'setia', 'hubungan', 'yang', 'saling', 'percaya', 'itu', 'penting', 'banget', 'ya']","['pacar', 'gue', 'cerita', 'curhat', 'hariharinya', 'gue', 'seneng', 'pendengar', 'setia', 'hubungan', 'percaya', 'banget']","['pacar', 'saya', 'cerita', 'curhat', 'tentang', 'hariharinya', 'dan', 'saya', 'seneng', 'bisa', 'jadi', 'pendengar', 'setia', 'hubungan', 'yang', 'saling', 'percaya', 'itu', 'penting', 'banget', 'ya']","['pacar', 'saya', 'cerita', 'curhat', 'tentang', 'hariharinya', 'dan', 'saya', 'neng', 'bisa', 'jadi', 'dengar', 'setia', 'hubung', 'yang', 'saling', 'percaya', 'itu', 'penting', 'banget', 'ya']"
20,gue dan pacar lagi shopping bareng caricari barang kece seru banget bisa berdua ngejajal fashion baru,"mentor aku baik bangett, beliau selalu ngajarin aku sebelum di kasih tugas hihi",aku pribadi lebih suka menyelesaikan dulu semua pekerjaanku biar tenang,"hidup gua hancur, gak bakal bisa terobati seumur hidup kayaknya",seneng bangett bisa dapet kesempatan lo-in perusahaan2 kerenn dan dapet insight tentang karir lebih dalem lagi,"['gue', 'dan', 'pacar', 'lagi', 'shopping', 'bareng', 'caricari', 'barang', 'kece', 'seru', 'banget', 'bisa', 'berdua', 'ngejajal', 'fashion', 'baru']","['gue', 'pacar', 'shopping', 'bareng', 'caricari', 'barang', 'kece', 'seru', 'banget', 'berdua', 'ngejajal', 'fashion']","['saya', 'dan', 'pacar', 'lagi', 'shopping', 'bareng', 'caricari', 'barang', 'kece', 'seru', 'banget', 'bisa', 'berdua', 'ngejajal', 'fashion', 'baru']","['saya', 'dan', 'pacar', 'lagi', 'shopping', 'bareng', 'caricari', 'barang', 'kece', 'seru', 'banget', 'bisa', 'dua', 'ngejajal', 'fashion', 'baru']"
21,pacar gue punya sense of humor yang keren banget hari ini ketawa terus garagara guyonan dia hidup jadi lebih ceria,tenggo itu jadi salah satu menaati aturan kan wkwkwkwk,"kamis itu hari yang paling sibuk karena harus ngajar, ngasprak, dan harus rapat himpunan wow..","kalo dipikir pikir enak ya kalo jadi cowo ganteng, kayaknya setengah permasalahan hidupnya teratasi ga sih",stop fanatik dan tutup mata karena itu termasuk penyakit hati yang sulit disembuhkan.,"['pacar', 'gue', 'punya', 'sense', 'of', 'humor', 'yang', 'keren', 'banget', 'hari', 'ini', 'ketawa', 'terus', 'garagara', 'guyonan', 'dia', 'hidup', 'jadi', 'lebih', 'ceria']","['pacar', 'gue', 'sense', 'of', 'humor', 'keren', 'banget', 'ketawa', 'garagara', 'guyonan', 'hidup', 'ceria']","['pacar', 'saya', 'punya', 'sense', 'of', 'humor', 'yang', 'keren', 'banget', 'hari', 'ini', 'ketawa', 'terus', 'garagara', 'guyonan', 'dia', 'hidup', 'jadi', 'lebih', 'ceria']","['pacar', 'saya', 'punya', 'sense', 'of', 'humor', 'yang', 'keren', 'banget', 'hari', 'ini', 'ketawa', 'terus', 'garagara', 'guyon', 'dia', 'hidup', 'jadi', 'lebih', 'ceria']"
