,No,Text,Label,tokens,tokens_fdist,normalized,tokens_stemmed
10,11,gue lagi di caf nikmatin kopi favorit sambil cerita sama tementemen ngebahas temen gue yang lagi punya doi baru sama yang terlibat hts seru bangeet akhirnya bisa ngumpul lagi,1,"['gue', 'lagi', 'di', 'caf', 'nikmatin', 'kopi', 'favorit', 'sambil', 'cerita', 'sama', 'tementemen', 'ngebahas', 'temen', 'gue', 'yang', 'lagi', 'punya', 'doi', 'baru', 'sama', 'yang', 'terlibat', 'hts', 'seru', 'bangeet', 'akhirnya', 'bisa', 'ngumpul', 'lagi']","['gue', 'caf', 'nikmatin', 'kopi', 'favorit', 'cerita', 'tementemen', 'ngebahas', 'temen', 'gue', 'doi', 'terlibat', 'hts', 'seru', 'bangeet', 'ngumpul']","['saya', 'lagi', 'di', 'caf', 'nikmatin', 'kopi', 'favorit', 'sambil', 'cerita', 'sama', 'tementemen', 'ngebahas', 'temen', 'saya', 'yang', 'lagi', 'punya', 'doi', 'baru', 'sama', 'yang', 'terlibat', 'hts', 'seru', 'banget', 'akhirnya', 'bisa', 'ngumpul', 'lagi']","['saya', 'lagi', 'di', 'caf', 'nikmatin', 'kopi', 'favorit', 'sambil', 'cerita', 'sama', 'tementemen', 'ngebahas', 'temen', 'saya', 'yang', 'lagi', 'punya', 'doi', 'baru', 'sama', 'yang', 'libat', 'hts', 'seru', 'banget', 'akhir', 'bisa', 'ngumpul', 'lagi']"
11,12,hari ini gue shopping sepuasnya dapet diskon gede seneng banget bisa beli barangbarang kece tanpa khawatir,1,"['hari', 'ini', 'gue', 'shopping', 'sepuasnya', 'dapet', 'diskon', 'gede', 'seneng', 'banget', 'bisa', 'beli', 'barangbarang', 'kece', 'tanpa', 'khawatir']","['gue', 'shopping', 'sepuasnya', 'dapet', 'diskon', 'gede', 'seneng', 'banget', 'beli', 'barangbarang', 'kece', 'khawatir']","['hari', 'ini', 'saya', 'shopping', 'sepuasnya', 'dapet', 'diskon', 'gede', 'seneng', 'banget', 'bisa', 'beli', 'barangbarang', 'kece', 'tanpa', 'khawatir']","['hari', 'ini', 'saya', 'shopping', 'puas', 'dapet', 'diskon', 'gede', 'neng', 'banget', 'bisa', 'beli', 'barangbarang', 'kece', 'tanpa', 'khawatir']"
12,13,gue cerita curhat sama tementemen di cafe ternyata mereka juga pernah mengalami hal yang sama rasa lega bercerita,1,"['gue', 'cerita', 'curhat', 'sama', 'tementemen', 'di', 'cafe', 'ternyata', 'mereka', 'juga', 'pernah', 'mengalami', 'hal', 'yang', 'sama', 'rasa', 'lega', 'bercerita']","['gue', 'cerita', 'curhat', 'tementemen', 'cafe', 'mengalami', 'lega', 'bercerita']","['saya', 'cerita', 'curhat', 'sama', 'tementemen', 'di', 'cafe', 'ternyata', 'mereka', 'juga', 'pernah', 'mengalami', 'hal', 'yang', 'sama', 'rasa', 'lega', 'bercerita']","['saya', 'cerita', 'curhat', 'sama', 'tementemen', 'di', 'cafe', 'nyata', 'mereka', 'juga', 'pernah', 'alami', 'hal', 'yang', 'sama', 'rasa', 'lega', 'cerita']"
13,14,gue lagi piknik ke taman makan bekal enak bareng keluarga hidup ini indah banget ya,1,"['gue', 'lagi', 'piknik', 'ke', 'taman', 'makan', 'bekal', 'enak', 'bareng', 'keluarga', 'hidup', 'ini', 'indah', 'banget', 'ya']","['gue', 'piknik', 'taman', 'makan', 'bekal', 'enak', 'bareng', 'keluarga', 'hidup', 'indah', 'banget']","['saya', 'lagi', 'piknik', 'ke', 'taman', 'makan', 'bekal', 'enak', 'bareng', 'keluarga', 'hidup', 'ini', 'indah', 'banget', 'ya']","['saya', 'lagi', 'piknik', 'ke', 'taman', 'makan', 'bekal', 'enak', 'bareng', 'keluarga', 'hidup', 'ini', 'indah', 'banget', 'ya']"
14,15,hari ini gue merayakan ulangtahun adik dengan pesta kecilkecilan di rumah makan enak tertawa bersama dan pelukpelukan hangat,1,"['hari', 'ini', 'gue', 'merayakan', 'ulangtahun', 'adik', 'dengan', 'pesta', 'kecilkecilan', 'di', 'rumah', 'makan', 'enak', 'tertawa', 'bersama', 'dan', 'pelukpelukan', 'hangat']","['gue', 'merayakan', 'ulangtahun', 'adik', 'pesta', 'kecilkecilan', 'rumah', 'makan', 'enak', 'tertawa', 'pelukpelukan', 'hangat']","['hari', 'ini', 'saya', 'merayakan', 'ulangtahun', 'adik', 'dengan', 'pesta', 'kecilkecilan', 'di', 'rumah', 'makan', 'enak', 'tertawa', 'bersama', 'dan', 'pelukpelukan', 'hangat']","['hari', 'ini', 'saya', 'raya', 'ulangtahun', 'adik', 'dengan', 'pesta', 'kecilkecilan', 'di', 'rumah', 'makan', 'enak', 'tertawa', 'sama', 'dan', 'pelukpelukan', 'hangat']"
15,16,gue dan pacar halal gue lagi merayakan ulangtahun pernikahan senang banget bisa melewati berbagai momen manis bersama,1,"['gue', 'dan', 'pacar', 'halal', 'gue', 'lagi', 'merayakan', 'ulangtahun', 'pernikahan', 'senang', 'banget', 'bisa', 'melewati', 'berbagai', 'momen', 'manis', 'bersama']","['gue', 'pacar', 'halal', 'gue', 'merayakan', 'ulangtahun', 'pernikahan', 'senang', 'banget', 'melewati', 'momen', 'manis']","['saya', 'dan', 'pacar', 'halal', 'saya', 'lagi', 'merayakan', 'ulangtahun', 'pernikahan', 'senang', 'banget', 'bisa', 'melewati', 'berbagai', 'momen', 'manis', 'bersama']","['saya', 'dan', 'pacar', 'halal', 'saya', 'lagi', 'raya', 'ulangtahun', 'nikah', 'senang', 'banget', 'bisa', 'lewat', 'bagai', 'momen', 'manis', 'sama']"
16,17,hari ini gue seneng banget karena bisa ketemu gebetan kita jalanjalan bareng ngobrol seru dan saling tertawa,1,"['hari', 'ini', 'gue', 'seneng', 'banget', 'karena', 'bisa', 'ketemu', 'gebetan', 'kita', 'jalanjalan', 'bareng', 'ngobrol', 'seru', 'dan', 'saling', 'tertawa']","['gue', 'seneng', 'banget', 'ketemu', 'gebetan', 'jalanjalan', 'bareng', 'ngobrol', 'seru', 'tertawa']","['hari', 'ini', 'saya', 'seneng', 'banget', 'karena', 'bisa', 'ketemu', 'gebetan', 'kita', 'jalanjalan', 'bareng', 'ngobrol', 'seru', 'dan', 'saling', 'tertawa']","['hari', 'ini', 'saya', 'neng', 'banget', 'karena', 'bisa', 'ketemu', 'gebetan', 'kita', 'jalanjalan', 'bareng', 'ngobrol', 'seru', 'dan', 'saling', 'tertawa']"
17,18,gue lagi ngobrol panjang sama pacar cerita curhat dan berbagi rencana masa depan setiap detik bersama emang berharga banget,1,"['gue', 'lagi', 'ngobrol', 'panjang', 'sama', 'pacar', 'cerita', 'curhat', 'dan', 'berbagi', 'rencana', 'masa', 'depan', 'setiap', 'detik', 'bersama', 'emang', 'berharga', 'banget']","['gue', 'ngobrol', 'pacar', 'cerita', 'curhat', 'berbagi', 'rencana', 'detik', 'emang', 'berharga', 'banget']","['saya', 'lagi', 'ngobrol', 'panjang', 'sama', 'pacar', 'cerita', 'curhat', 'dan', 'berbagi', 'rencana', 'masa', 'depan', 'setiap', 'detik', 'bersama', 'emang', 'berharga', 'banget']","['saya', 'lagi', 'ngobrol', 'panjang', 'sama', 'pacar', 'cerita', 'curhat', 'dan', 'bagi', 'rencana', 'masa', 'depan', 'tiap', 'detik', 'sama', 'emang', 'harga', 'banget']"
18,19,gue dan pacar lagi planning liburan bersama rencananya sih mau travelling bareng seru banget,1,"['gue', 'dan', 'pacar', 'lagi', 'planning', 'liburan', 'bersama', 'rencananya', 'sih', 'mau', 'travelling', 'bareng', 'seru', 'banget']","['gue', 'pacar', 'planning', 'liburan', 'rencananya', 'travelling', 'bareng', 'seru', 'banget']","['saya', 'dan', 'pacar', 'lagi', 'planning', 'liburan', 'bersama', 'rencananya', 'sih', 'mau', 'travelling', 'bareng', 'seru', 'banget']","['saya', 'dan', 'pacar', 'lagi', 'planning', 'libur', 'sama', 'rencana', 'sih', 'mau', 'travelling', 'bareng', 'seru', 'banget']"
19,20,pacar gue cerita curhat tentang hariharinya dan gue seneng bisa jadi pendengar setia hubungan yang saling percaya itu penting banget ya,1,"['pacar', 'gue', 'cerita', 'curhat', 'tentang', 'hariharinya', 'dan', 'gue', 'seneng', 'bisa', 'jadi', 'pendengar', 'setia', 'hubungan', 'yang', 'saling', 'percaya', 'itu', 'penting', 'banget', 'ya']","['pacar', 'gue', 'cerita', 'curhat', 'hariharinya', 'gue', 'seneng', 'pendengar', 'setia', 'hubungan', 'percaya', 'banget']","['pacar', 'saya', 'cerita', 'curhat', 'tentang', 'hariharinya', 'dan', 'saya', 'seneng', 'bisa', 'jadi', 'pendengar', 'setia', 'hubungan', 'yang', 'saling', 'percaya', 'itu', 'penting', 'banget', 'ya']","['pacar', 'saya', 'cerita', 'curhat', 'tentang', 'hariharinya', 'dan', 'saya', 'neng', 'bisa', 'jadi', 'dengar', 'setia', 'hubung', 'yang', 'saling', 'percaya', 'itu', 'penting', 'banget', 'ya']"
20,21,gue dan pacar lagi shopping bareng caricari barang kece seru banget bisa berdua ngejajal fashion baru,1,"['gue', 'dan', 'pacar', 'lagi', 'shopping', 'bareng', 'caricari', 'barang', 'kece', 'seru', 'banget', 'bisa', 'berdua', 'ngejajal', 'fashion', 'baru']","['gue', 'pacar', 'shopping', 'bareng', 'caricari', 'barang', 'kece', 'seru', 'banget', 'berdua', 'ngejajal', 'fashion']","['saya', 'dan', 'pacar', 'lagi', 'shopping', 'bareng', 'caricari', 'barang', 'kece', 'seru', 'banget', 'bisa', 'berdua', 'ngejajal', 'fashion', 'baru']","['saya', 'dan', 'pacar', 'lagi', 'shopping', 'bareng', 'caricari', 'barang', 'kece', 'seru', 'banget', 'bisa', 'dua', 'ngejajal', 'fashion', 'baru']"
21,22,pacar gue punya sense of humor yang keren banget hari ini ketawa terus garagara guyonan dia hidup jadi lebih ceria,1,"['pacar', 'gue', 'punya', 'sense', 'of', 'humor', 'yang', 'keren', 'banget', 'hari', 'ini', 'ketawa', 'terus', 'garagara', 'guyonan', 'dia', 'hidup', 'jadi', 'lebih', 'ceria']","['pacar', 'gue', 'sense', 'of', 'humor', 'keren', 'banget', 'ketawa', 'garagara', 'guyonan', 'hidup', 'ceria']","['pacar', 'saya', 'punya', 'sense', 'of', 'humor', 'yang', 'keren', 'banget', 'hari', 'ini', 'ketawa', 'terus', 'garagara', 'guyonan', 'dia', 'hidup', 'jadi', 'lebih', 'ceria']","['pacar', 'saya', 'punya', 'sense', 'of', 'humor', 'yang', 'keren', 'banget', 'hari', 'ini', 'ketawa', 'terus', 'garagara', 'guyon', 'dia', 'hidup', 'jadi', 'lebih', 'ceria']"
22,23,pacar gue rajin curhat tentang hariharinya dan gue suka banget dengerin ceritanya cinta itu juga tentang saling mengerti kan,1,"['pacar', 'gue', 'rajin', 'curhat', 'tentang', 'hariharinya', 'dan', 'gue', 'suka', 'banget', 'dengerin', 'ceritanya', 'cinta', 'itu', 'juga', 'tentang', 'saling', 'mengerti', 'kan']","['pacar', 'gue', 'rajin', 'curhat', 'hariharinya', 'gue', 'suka', 'banget', 'dengerin', 'ceritanya', 'cinta', 'mengerti']","['pacar', 'saya', 'rajin', 'curhat', 'tentang', 'hariharinya', 'dan', 'saya', 'suka', 'banget', 'dengerin', 'ceritanya', 'cinta', 'itu', 'juga', 'tentang', 'saling', 'mengerti', 'kan']","['pacar', 'saya', 'rajin', 'curhat', 'tentang', 'hariharinya', 'dan', 'saya', 'suka', 'banget', 'dengerin', 'cerita', 'cinta', 'itu', 'juga', 'tentang', 'saling', 'erti', 'kan']"
23,24,gue dan pacar lagi planning rencana masa depan mimpimimpi besar yang bakal kita raih bersama,1,"['gue', 'dan', 'pacar', 'lagi', 'planning', 'rencana', 'masa', 'depan', 'mimpimimpi', 'besar', 'yang', 'bakal', 'kita', 'raih', 'bersama']","['gue', 'pacar', 'planning', 'rencana', 'mimpimimpi', 'raih']","['saya', 'dan', 'pacar', 'lagi', 'planning', 'rencana', 'masa', 'depan', 'mimpimimpi', 'besar', 'yang', 'bakal', 'kita', 'raih', 'bersama']","['saya', 'dan', 'pacar', 'lagi', 'planning', 'rencana', 'masa', 'depan', 'mimpimimpi', 'besar', 'yang', 'bakal', 'kita', 'raih', 'sama']"
24,25,gue suka banget jalanjalan ramerame sama pacar dan tementemen semua jadi lebih seru,1,"['gue', 'suka', 'banget', 'jalanjalan', 'ramerame', 'sama', 'pacar', 'dan', 'tementemen', 'semua', 'jadi', 'lebih', 'seru']","['gue', 'suka', 'banget', 'jalanjalan', 'ramerame', 'pacar', 'tementemen', 'seru']","['saya', 'suka', 'banget', 'jalanjalan', 'ramerame', 'sama', 'pacar', 'dan', 'tementemen', 'semua', 'jadi', 'lebih', 'seru']","['saya', 'suka', 'banget', 'jalanjalan', 'ramerame', 'sama', 'pacar', 'dan', 'tementemen', 'semua', 'jadi', 'lebih', 'seru']"
25,26,pacar gue suka banget bikin surprise romantis hari ini dia ngasih bunga dan kartu cinta bikin melting paraah dah,1,"['pacar', 'gue', 'suka', 'banget', 'bikin', 'surprise', 'romantis', 'hari', 'ini', 'dia', 'ngasih', 'bunga', 'dan', 'kartu', 'cinta', 'bikin', 'melting', 'paraah', 'dah']","['pacar', 'gue', 'suka', 'banget', 'surprise', 'romantis', 'ngasih', 'bunga', 'kartu', 'cinta', 'melting', 'paraah', 'dah']","['pacar', 'saya', 'suka', 'banget', 'bikin', 'surprise', 'romantis', 'hari', 'ini', 'dia', 'ngasih', 'bunga', 'dan', 'kartu', 'cinta', 'bikin', 'melting', 'paraah', 'dah']","['pacar', 'saya', 'suka', 'banget', 'bikin', 'surprise', 'romantis', 'hari', 'ini', 'dia', 'ngasih', 'bunga', 'dan', 'kartu', 'cinta', 'bikin', 'melting', 'paraah', 'dah']"
26,27,pacar gue rajin banget kasih motivasi positif setiap kali gue down dia selalu ada buat ngingetin bahwa gue bisa,1,"['pacar', 'gue', 'rajin', 'banget', 'kasih', 'motivasi', 'positif', 'setiap', 'kali', 'gue', 'down', 'dia', 'selalu', 'ada', 'buat', 'ngingetin', 'bahwa', 'gue', 'bisa']","['pacar', 'gue', 'rajin', 'banget', 'kasih', 'motivasi', 'positif', 'kali', 'gue', 'down', 'ngingetin', 'gue']","['pacar', 'saya', 'rajin', 'banget', 'kasih', 'motivasi', 'positif', 'setiap', 'kali', 'saya', 'down', 'dia', 'selalu', 'ada', 'buat', 'ngingetin', 'bahwa', 'saya', 'bisa']","['pacar', 'saya', 'rajin', 'banget', 'kasih', 'motivasi', 'positif', 'tiap', 'kali', 'saya', 'down', 'dia', 'selalu', 'ada', 'buat', 'ngingetin', 'bahwa', 'saya', 'bisa']"
27,28,gue dan pacar sering banget nonton konser bareng musik adalah satu dari banyak hal yang membuat hubungan kita semakin erat,1,"['gue', 'dan', 'pacar', 'sering', 'banget', 'nonton', 'konser', 'bareng', 'musik', 'adalah', 'satu', 'dari', 'banyak', 'hal', 'yang', 'membuat', 'hubungan', 'kita', 'semakin', 'erat']","['gue', 'pacar', 'banget', 'nonton', 'konser', 'bareng', 'musik', 'hubungan', 'erat']","['saya', 'dan', 'pacar', 'sering', 'banget', 'nonton', 'konser', 'bareng', 'musik', 'adalah', 'satu', 'dari', 'banyak', 'hal', 'yang', 'membuat', 'hubungan', 'kita', 'semakin', 'erat']","['saya', 'dan', 'pacar', 'sering', 'banget', 'nonton', 'konser', 'bareng', 'musik', 'adalah', 'satu', 'dari', 'banyak', 'hal', 'yang', 'buat', 'hubung', 'kita', 'makin', 'erat']"
28,29,hari ini gue dan pacar belanja bersama cari barang yang kita suka seru banget lihat selera belanja kita saling melengkapi,1,"['hari', 'ini', 'gue', 'dan', 'pacar', 'belanja', 'bersama', 'cari', 'barang', 'yang', 'kita', 'suka', 'seru', 'banget', 'lihat', 'selera', 'belanja', 'kita', 'saling', 'melengkapi']","['gue', 'pacar', 'belanja', 'cari', 'barang', 'suka', 'seru', 'banget', 'lihat', 'selera', 'belanja', 'melengkapi']","['hari', 'ini', 'saya', 'dan', 'pacar', 'belanja', 'bersama', 'cari', 'barang', 'yang', 'kita', 'suka', 'seru', 'banget', 'lihat', 'selera', 'belanja', 'kita', 'saling', 'melengkapi']","['hari', 'ini', 'saya', 'dan', 'pacar', 'belanja', 'sama', 'cari', 'barang', 'yang', 'kita', 'suka', 'seru', 'banget', 'lihat', 'selera', 'belanja', 'kita', 'saling', 'lengkap']"
29,30,hari ini gue dan pacar pergi piknik ke pantai pelukan di bawah matahari terbenam tak ada yang lebih romantis,1,"['hari', 'ini', 'gue', 'dan', 'pacar', 'pergi', 'piknik', 'ke', 'pantai', 'pelukan', 'di', 'bawah', 'matahari', 'terbenam', 'tak', 'ada', 'yang', 'lebih', 'romantis']","['gue', 'pacar', 'pergi', 'piknik', 'pantai', 'pelukan', 'matahari', 'terbenam', 'romantis']","['hari', 'ini', 'saya', 'dan', 'pacar', 'pergi', 'piknik', 'ke', 'pantai', 'pelukan', 'di', 'bawah', 'matahari', 'terbenam', 'tak', 'ada', 'yang', 'lebih', 'romantis']","['hari', 'ini', 'saya', 'dan', 'pacar', 'pergi', 'piknik', 'ke', 'pantai', 'peluk', 'di', 'bawah', 'matahari', 'benam', 'tak', 'ada', 'yang', 'lebih', 'romantis']"
30,31,pacar gue suka banget sama hobi gue yang agak unik hari ini kita samasama belajar dan mencoba hal baru,1,"['pacar', 'gue', 'suka', 'banget', 'sama', 'hobi', 'gue', 'yang', 'agak', 'unik', 'hari', 'ini', 'kita', 'samasama', 'belajar', 'dan', 'mencoba', 'hal', 'baru']","['pacar', 'gue', 'suka', 'banget', 'hobi', 'gue', 'unik', 'samasama', 'belajar', 'mencoba']","['pacar', 'saya', 'suka', 'banget', 'sama', 'hobi', 'saya', 'yang', 'agak', 'unik', 'hari', 'ini', 'kita', 'samasama', 'belajar', 'dan', 'mencoba', 'hal', 'baru']","['pacar', 'saya', 'suka', 'banget', 'sama', 'hobi', 'saya', 'yang', 'agak', 'unik', 'hari', 'ini', 'kita', 'samasama', 'ajar', 'dan', 'coba', 'hal', 'baru']"
31,32,gue lagi belanja sepuasnya dan nemu diskon besarbesaran senang banget bisa mendapatkan barangbarang keren tanpa nguras dompet,1,"['gue', 'lagi', 'belanja', 'sepuasnya', 'dan', 'nemu', 'diskon', 'besarbesaran', 'senang', 'banget', 'bisa', 'mendapatkan', 'barangbarang', 'keren', 'tanpa', 'nguras', 'dompet']","['gue', 'belanja', 'sepuasnya', 'nemu', 'diskon', 'besarbesaran', 'senang', 'banget', 'barangbarang', 'keren', 'nguras', 'dompet']","['saya', 'lagi', 'belanja', 'sepuasnya', 'dan', 'nemu', 'diskon', 'besarbesaran', 'senang', 'banget', 'bisa', 'mendapatkan', 'barangbarang', 'keren', 'tanpa', 'nguras', 'dompet']","['saya', 'lagi', 'belanja', 'puas', 'dan', 'nemu', 'diskon', 'besarbesaran', 'senang', 'banget', 'bisa', 'dapat', 'barangbarang', 'keren', 'tanpa', 'nguras', 'dompet']"
