EXTRAVERSION,AGREEABLENESS,CONSCIENTIOUSNESS,NEUROTICISM,OPENNESS,tokens,tokens_fdist,normalized
horee akhirnya bisa jalan ramean ke mall bareng temen temen cenen banget gue,"gue bersyukur banget bisa kerja di tempat yang baik dengan orang orang yang baik di dalamnya, semoga gue bisa segera membalas kebaikan kebaikan mereka ke gue.","harus bisa lebih hati hati dan teliti dalam mengambil keputusan, terutama buat hal hal penting dalam hidup gue.","gue emang kekanak kanakan, apa yang gue mau harus gue dapetin kalo ngga gue bakal upset, kecewa dan marah marah ga jelas. gue sadar itu.",saya ingin tahu tentang cara kerja berbagai hal yang ada di dunia ini.,"['horee', 'akhirnya', 'bisa', 'jalan', 'ramean', 'ke', 'mall', 'bareng', 'temen', 'temen', 'cenen', 'banget', 'gue']","['horee', 'jalan', 'ramean', 'mall', 'bareng', 'temen', 'temen', 'cenen', 'banget', 'gue']","['horee', 'akhirnya', 'bisa', 'jalan', 'ramean', 'ke', 'mall', 'bareng', 'temen', 'temen', 'cenen', 'banget', 'saya']"
gue gak betah sama sekali kalau harus disuruh diem dirumah terus gud senengnya kalo ketemu banyak orang main sama banyak orang,gue dari dulu seneng banget kalo diajakin acara acara baksos karena dengan ikutan kegiatan kegiatan itu gue bisa bantu orang orang lain secara langsung.,"gue orangnya emang dari dulu udah kebiasaan detail banget, tiap kerjain sesuatu pasti gue perhatiin bener bener setiap detailnya.","tiap hari gue hidup penuh kekhawatiran, gimana kalo gue tiba tiba mati, ketabrak gitu, atau jatuh kepeleset, karena ketidakseimbangan badan gue selama ini.","gue suka hal hal baru yang berbau adventure dan petualangan, hal hal baru yang mengasah kreativitas gue, yang bisa bikin gun belajar hal hal baru dengan konsep konsep baru yang abstrak.","['gue', 'gak', 'betah', 'sama', 'sekali', 'kalau', 'harus', 'disuruh', 'diem', 'dirumah', 'terus', 'gud', 'senengnya', 'kalo', 'ketemu', 'banyak', 'orang', 'main', 'sama', 'banyak', 'orang']","['gue', 'betah', 'disuruh', 'diem', 'dirumah', 'gud', 'senengnya', 'ketemu', 'orang', 'main', 'orang']","['saya', 'tidak', 'betah', 'sama', 'sekali', 'kalau', 'harus', 'disuruh', 'diem', 'dirumah', 'terus', 'gud', 'senengnya', 'kalau', 'ketemu', 'banyak', 'orang', 'main', 'sama', 'banyak', 'orang']"
,"ketemu pengemis di jalan, rasanya nggak tega liat mereka susah. yuk kita bantu semampu kita, karena kebaikan sekecil apapun pasti berarti buat mereka.",,,"dari gue smp memang gue ngerasa kalau passion gue itu ada di dunia proggraming. soalnya gue kalau liat orang yg sedang membuat kode program di media, rasanya keren sekali menjadi orang itu",[],[],[]
gue paling seneng tampil jadi pembicara seneng kalo bisa tampil dan perform di depan banyak orang,"ntah kenapa ya banyak yang percayain dirinya buat curhat tentang rahasia rahasia mereka ke gue, kata mereka sih gue orangnya bisa dipercaya, bisa jaga rahasia.",di kantor gue terkenal pekerja keras dan selalu kerjain target tepat waktu.,"gue insecure dengan adanya banyak kekurangan di diri gue ini, takut gue gak disukai orang, bahkan dijauhin. itu yang selalu bikin gue cemas tiap kenalan dengan orang yang baru.","tahun ini gue punya target baru, harus lebih rajin nulis dan bikin jurnal biar kreativitas gue makin meningkat","['gue', 'paling', 'seneng', 'tampil', 'jadi', 'pembicara', 'seneng', 'kalo', 'bisa', 'tampil', 'dan', 'perform', 'di', 'depan', 'banyak', 'orang']","['gue', 'seneng', 'tampil', 'pembicara', 'seneng', 'tampil', 'perform', 'orang']","['saya', 'paling', 'seneng', 'tampil', 'jadi', 'pembicara', 'seneng', 'kalau', 'bisa', 'tampil', 'dan', 'perform', 'di', 'depan', 'banyak', 'orang']"
ga sabar besok ppkmb ketemu sama temen kuliah nanti dari daerah yang bedabeda,"biasanya kalau ada orang baru di kantor, gue selalu ngajak ngobrol orang itu, biar dia ga merasa kesepian",gue selalu punya plan b buat antisipasi hal-hal ga terduga. rencana cadangan ini bikin kita lebih siap dan tenang menghadapi perubahan,"gue masih kebayang-bayang pikiran masa lalu gue yang sangat buruk itu, gabisa gue buat maju kedepan, terlalu banyak kenangan buruk yang menghantui diri gue","berani beda itu penting. anti status quo, bro!","['ga', 'sabar', 'besok', 'ppkmb', 'ketemu', 'sama', 'temen', 'kuliah', 'nanti', 'dari', 'daerah', 'yang', 'bedabeda']","['sabar', 'besok', 'ppkmb', 'ketemu', 'temen', 'kuliah', 'daerah', 'bedabeda']","['tidak', 'sabar', 'besok', 'ppkmb', 'ketemu', 'sama', 'temen', 'kuliah', 'nanti', 'dari', 'daerah', 'yang', 'bedabeda']"
misal ada tantangan harus menyendiri selama seminggu di rumah gue pasti kalah gue ga bisa sendiri harus ketemu banian orang baru gue seneng,kslo ada orang yang baik sama gue bawaannya gue jadi pengen lebih baik lagi sama dia.,gue lebih banyak memakai waktu gue di rumah buat ngerencanain segala sesuatu yang bakal gue kerjain dan kegiatan kegiatan gue diluar rumah.,"bukannya gue gak terima kritik dan saran ya, tapi caranya itu loh, bikin gue sakit hatiii banget.","gue orangnya penasaran kalo ada bidang ilmu baru yang baru gue pelajari, misalnya di kampus, atau di kegiatan kegiatan ekstra kampus yang gue ikutin.","['misal', 'ada', 'tantangan', 'harus', 'menyendiri', 'selama', 'seminggu', 'di', 'rumah', 'gue', 'pasti', 'kalah', 'gue', 'ga', 'bisa', 'sendiri', 'harus', 'ketemu', 'banian', 'orang', 'baru', 'gue', 'seneng']","['tantangan', 'menyendiri', 'seminggu', 'rumah', 'gue', 'kalah', 'gue', 'ketemu', 'banian', 'orang', 'gue', 'seneng']","['misal', 'ada', 'tantangan', 'harus', 'menyendiri', 'selama', 'seminggu', 'di', 'rumah', 'saya', 'pasti', 'kalah', 'saya', 'tidak', 'bisa', 'sendiri', 'harus', 'ketemu', 'banian', 'orang', 'baru', 'saya', 'seneng']"
ajakin gue jalan dong gaes bosen bgt dirumah,anak yatim piatu butuh kasih sayang dari kita loh,"sadar gaes, kesehatan mental itu prioritas. jangan lupa buat luangin waktu buat diri sendiri, meditasi, dan jaga keseimbangan antara kerja dan hidup","percaya gaes rasa gagal yang gue alamin nyakitin banget, kayak semua usaha yang udah selama ini gue jalananin sia-sia. capek bgt rasanya","imajinasi tuh bisa dibayangkan kaya otot, semakin sering kita melatih imajinasi kita. maka semakit kuat juga daya imajinasi kita, jadi selalu beri ruang untuk bermimpi dan berimajinasi","['ajakin', 'gue', 'jalan', 'dong', 'gaes', 'bosen', 'bgt', 'dirumah']","['ajakin', 'gue', 'jalan', 'gaes', 'bosen', 'bgt', 'dirumah']","['ajakin', 'saya', 'jalan', 'dong', 'gaes', 'bosen', 'banget', 'dirumah']"
gue lagi belanja sepuasnya dan nemu diskon besarbesaran senang banget bisa mendapatkan barangbarang keren tanpa nguras dompet,makasih buat donatur yang udah berbaik hati ngasih beasiswa buat anak-anak kurang mampu. semoga kebaikan kalian dibalas berlipat ganda!,menurutku punya tujuan dan rencana yang matang buat masa depan itu penting sih karena kita jadi punya motivasi dan gak sembarangan ngerjain yang gak perlu,"aku aja bingung sama diriku, belum paham apa mauku","pengen deh punya temen yang mirip ensiklopedia, biar wawasanku tentang dunia tuh bertambah tiap hari","['gue', 'lagi', 'belanja', 'sepuasnya', 'dan', 'nemu', 'diskon', 'besarbesaran', 'senang', 'banget', 'bisa', 'mendapatkan', 'barangbarang', 'keren', 'tanpa', 'nguras', 'dompet']","['gue', 'belanja', 'sepuasnya', 'nemu', 'diskon', 'besarbesaran', 'senang', 'banget', 'barangbarang', 'keren', 'nguras', 'dompet']","['saya', 'lagi', 'belanja', 'sepuasnya', 'dan', 'nemu', 'diskon', 'besarbesaran', 'senang', 'banget', 'bisa', 'mendapatkan', 'barangbarang', 'keren', 'tanpa', 'nguras', 'dompet']"
ga ada yang bikin seneng kecuali dateng ke acara reunian,"gais, jgn lupa doain sodara kita yang ada di palestine ya, semoga mereka tetep dilindungi sama allah","pagi gaes, semangat buat jalanin hari yg padat, jangan lupa olahraga biar badan dan pikiran jadi fresh","hati aku hancur banget rasanya ga tersisa, rusak banget, gatau apakah gue masih bisa sembuh dan percaya lagi sama orang",anarki tuh sebenernya bukan berarti bisa bikin chaos. kadang kita juga butuh anarki buat ngebebasin diri kita dari sistem yg bikin kita tertekan,"['ga', 'ada', 'yang', 'bikin', 'seneng', 'kecuali', 'dateng', 'ke', 'acara', 'reunian']","['seneng', 'kecuali', 'dateng', 'acara', 'reunian']","['tidak', 'ada', 'yang', 'bikin', 'seneng', 'kecuali', 'dateng', 'ke', 'acara', 'reunian']"
akan kuhadapi semuanya asalkan bareng bareng temen,"part tersedih ditinggal seseorang, kenangan kenangannya, kebaikan kebaikannya, bakal selalu keingetan selama hidup kita..",segala pengeluaran keuangan pribadi  harus dicatat supaya bisa kita  evaluasi..,"dunia ini gak adil buat gue, sejak kecil gue selalu ditimpa kemalangan dan kesedihan, butuh usaha banget buat gue tetep semangat dan gak depresi ngejalanin hari hari di kehidupan gue.",makin kesini jadi makin paham..masih banyak hal yang gak kita tahu dan belajar hal baru itu menyenangkan!!,"['akan', 'kuhadapi', 'semuanya', 'asalkan', 'bareng', 'bareng', 'temen']","['kuhadapi', 'bareng', 'bareng', 'temen']","['akan', 'kuhadapi', 'semuanya', 'asalkan', 'bareng', 'bareng', 'temen']"
pas wisata ke bali liburan kemarin ketemu beberapa orang yang sama sama dari bandung akhirnya kita jadi barengan deh senengnya dapet temen temen baru,"dari baca novel aja bisa jadi cara buat kita menumbuhkan empati dalam diri kita, misalkan novel tentang pengorbanan seorang ibu untuk anak nya.","umur segini makin sadar pentingnya komitmen, kerja keras dan pantang menyerah.","akhir akhir ini ntah kenapa gue gampang banget nervouss, gampang cemas, gampang panik kalau ada sesuatu yang berjalan gak sesuai rencana atau perkiraan gue.","beberapa orang bilang, gue adalah orang paling kreatif yang pernah mereka kenal..","['pas', 'wisata', 'ke', 'bali', 'liburan', 'kemarin', 'ketemu', 'beberapa', 'orang', 'yang', 'sama', 'sama', 'dari', 'bandung', 'akhirnya', 'kita', 'jadi', 'barengan', 'deh', 'senengnya', 'dapet', 'temen', 'temen', 'baru']","['pas', 'wisata', 'bali', 'liburan', 'kemarin', 'ketemu', 'orang', 'bandung', 'barengan', 'deh', 'senengnya', 'dapet', 'temen', 'temen']","['pas', 'wisata', 'ke', 'bali', 'liburan', 'kemarin', 'ketemu', 'beberapa', 'orang', 'yang', 'sama', 'sama', 'dari', 'bandung', 'akhirnya', 'kita', 'jadi', 'barengan', 'deh', 'senengnya', 'dapet', 'temen', 'temen', 'baru']"
pagi ini gue olahraga bareng teman smp kalian bareng siapa,"gaes, ini kan lagi banyak perang saudara, mungkin kita bisa bantu doain buat mereka supaya mereka baik-baik aja dan perangnya cepet selese","kalian anak yg anak organisasi harus bikin antisipasi disetiap program yg kalian bikin, jadi biar biar punya rencana cadangan biar semua program kalian berjalan lancar","hidup gue di jugde terus sama orang, padahal mereka ga ngeri apa yang sebernernya terjadi sama diri gue. tau-tau nge judge aja",klimkas dari sebuah perjalanan menurut gue adalah momen dimana kita bisa merasa benar-benar hidup di tiap detik kehidupan kita dan bisa menikmatinya juga,"['pagi', 'ini', 'gue', 'olahraga', 'bareng', 'teman', 'smp', 'kalian', 'bareng', 'siapa']","['pagi', 'gue', 'olahraga', 'bareng', 'teman', 'smp', 'bareng']","['pagi', 'ini', 'saya', 'olahraga', 'bareng', 'teman', 'sampai', 'kalian', 'bareng', 'siapa']"
ntah kenapa kayaknya gue kebanyakan ngomong saking semangatnya ketemu orang orang baru ataupun kalo ketemu temen temen lama misalnya semangat deh pokoknya,"menurut nyokap gue orangnya paling perhatian sama temen temen gue, dibanding temen seusia gue yang nyokap kenal.","gue selalu harus bikin rencana buat semua kegiatan kegiatan gue, biar semua rencana dan acara acara gue terstruktur, rapi, dan juga organized.","duuuuh kenapa sih orang tuh, ga bisa sabaran dikit, gue kan baru belajar nyetir, jadi panik kan gue gara gara diklaksonin mulu.",guru les menggambar gue bilang gue muridnya yang paling kreatif.,"['ntah', 'kenapa', 'kayaknya', 'gue', 'kebanyakan', 'ngomong', 'saking', 'semangatnya', 'ketemu', 'orang', 'orang', 'baru', 'ataupun', 'kalo', 'ketemu', 'temen', 'temen', 'lama', 'misalnya', 'semangat', 'deh', 'pokoknya']","['ntah', 'kayaknya', 'gue', 'kebanyakan', 'ngomong', 'saking', 'semangatnya', 'ketemu', 'orang', 'orang', 'ketemu', 'temen', 'temen', 'semangat', 'deh', 'pokoknya']","['entah', 'kenapa', 'kayaknya', 'saya', 'kebanyakan', 'ngomong', 'saking', 'semangatnya', 'ketemu', 'orang', 'orang', 'baru', 'ataupun', 'kalau', 'ketemu', 'temen', 'temen', 'lama', 'misalnya', 'semangat', 'deh', 'pokoknya']"
berburu sunset di pantai pantai di indonesia tuh menyenangkan banget apalagi kalo ngelakuinnya bareng bareng temen atau keluarga besar,"gue selalu bilang ke temen temen gue, kabarin aja kalau lagi dalam kesulitan, insya allah pasti akan gue bantu semampu gue.","gak mungkin gue punya utang terus sengaja gak gue bayar, insyaallah gue bakal jaga komitmen buat ngelunasin utang itu.","hari ini gue overthinking banget tentang suatu kejadian. padahal kejadiannya tuh minggu yang lalu, udah lewat juga.","gue suka hal hal yang detail dan rumit, makin rumit detailnya makin excited gue kerjain nya.","['berburu', 'sunset', 'di', 'pantai', 'pantai', 'di', 'indonesia', 'tuh', 'menyenangkan', 'banget', 'apalagi', 'kalo', 'ngelakuinnya', 'bareng', 'bareng', 'temen', 'atau', 'keluarga', 'besar']","['berburu', 'sunset', 'pantai', 'pantai', 'indonesia', 'menyenangkan', 'banget', 'ngelakuinnya', 'bareng', 'bareng', 'temen', 'keluarga']","['berburu', 'sunset', 'di', 'pantai', 'pantai', 'di', 'indonesia', 'tuh', 'menyenangkan', 'banget', 'apalagi', 'kalau', 'ngelakuinnya', 'bareng', 'bareng', 'temen', 'atau', 'keluarga', 'besar']"
menikmati sunset di negara asing bersama pacar adalah momen yang tak terlupakan keindahan alam dan kebersamaan membuat hati hangat,"jangan lupa, hargai perbedaan. kita bisa belajar banyak dari orang dengan pandangan berbeda.",gue selalu berusaha buat memberikan yang terbaik sih. gue mau atasan dan rekan kerja ngerasa puas dengan kinerja gue.,"sakit banget hati gue, padahal gue juga bisa kayak mereka. tapi kenapa seakan-akan gue ini gak berguna banget hidup di dunia ini karena gak ada yang minta bantuan gue","dulu minat aku di bidang akuntansi, ternyata data lebihh menantang wkwkwkwk","['menikmati', 'sunset', 'di', 'negara', 'asing', 'bersama', 'pacar', 'adalah', 'momen', 'yang', 'tak', 'terlupakan', 'keindahan', 'alam', 'dan', 'kebersamaan', 'membuat', 'hati', 'hangat']","['menikmati', 'sunset', 'negara', 'asing', 'pacar', 'momen', 'terlupakan', 'keindahan', 'alam', 'kebersamaan', 'hati', 'hangat']","['menikmati', 'sunset', 'di', 'negara', 'asing', 'bersama', 'pacar', 'adalah', 'momen', 'yang', 'tak', 'terlupakan', 'keindahan', 'alam', 'dan', 'kebersamaan', 'membuat', 'hati', 'hangat']"
kalau main ice skating bareng sama temen temen tuh seru banget lagiii walaupun awalnya gak bisa akhirnya bisa lancar karena banyak temen kita yang bakal ajarin kita,"gue kebiasaan perhatiin keadaan orang, kalo dia butuh bantuan pasti akan gue bantu semampu gue.","gue selalu kerjain tugas tugas dari sekolah gue tepat waktu, gak pernah gue telat sekalipun.","gue overthinking gak sih kalo kayak gini? tapi gimana dong, tetep kepikiran kejadian itu padahal udah lama. udah setaunan kali..","gue orangnya suka banget nyoba hal hal baru, belajar hal hal yang baru yang belum pernah gue tahu sebelumnya.","['kalau', 'main', 'ice', 'skating', 'bareng', 'sama', 'temen', 'temen', 'tuh', 'seru', 'banget', 'lagiii', 'walaupun', 'awalnya', 'gak', 'bisa', 'akhirnya', 'bisa', 'lancar', 'karena', 'banyak', 'temen', 'kita', 'yang', 'bakal', 'ajarin', 'kita']","['main', 'ice', 'skating', 'bareng', 'temen', 'temen', 'seru', 'banget', 'lagiii', 'lancar', 'temen', 'ajarin']","['kalau', 'main', 'ice', 'skating', 'bareng', 'sama', 'temen', 'temen', 'tuh', 'seru', 'banget', 'lagiii', 'walaupun', 'awalnya', 'tidak', 'bisa', 'akhirnya', 'bisa', 'lancar', 'karena', 'banyak', 'temen', 'kita', 'yang', 'bakal', 'ajarin', 'kita']"
